"fileID","band","rad_avg"
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/636.7_leaf_2020_1000ms_80_200828_105620_923.png",636.7,0.00860965183246073
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/641.8_leaf_2020_1000ms_80_200828_105622_127.png",641.8,0.00850430366492146
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/646.8_leaf_2020_1000ms_80_200828_105623_331.png",646.8,0.00756396753926702
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/651.9_leaf_2020_1000ms_80_200828_105624_535.png",651.9,0.00618162303664921
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/657.0_leaf_2020_1000ms_80_200828_105625_739.png",657,0.00546937277486911
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/662.0_leaf_2020_1000ms_80_200828_105626_943.png",662,0.00496750785340314
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/667.1_leaf_2020_1000ms_80_200828_105628_147.png",667.1,0.00495405235602094
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/672.2_leaf_2020_1000ms_80_200828_105629_350.png",672.2,0.00493330890052356
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/677.2_leaf_2020_1000ms_80_200828_105631_758.png",677.2,0.00514716596858639
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/682.3_leaf_2020_1000ms_80_200828_105634_166.png",682.3,0.00509593036649215
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/687.3_leaf_2020_1000ms_80_200828_105635_370.png",687.3,0.00503077539267016
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/692.4_leaf_2020_1000ms_80_200828_105637_777.png",692.4,0.00492885392670157
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/697.5_leaf_2020_1000ms_80_200828_105640_185.png",697.5,0.00477310209424084
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/702.5_leaf_2020_1000ms_80_200828_105642_593.png",702.5,0.00454697277486911
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/707.6_leaf_2020_1000ms_80_200828_105643_797.png",707.6,0.00417010523560209
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/712.7_leaf_2020_1000ms_80_200828_105646_204.png",712.7,0.00366852408376963
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/717.7_leaf_2020_1000ms_80_200828_105648_612.png",717.7,0.00331794554973822
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/722.8_leaf_2020_1000ms_80_200828_105651_020.png",722.8,0.00304098534031414
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/727.8_leaf_2020_1000ms_80_200828_105652_223.png",727.8,0.00271251884816754
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/732.9_leaf_2020_1000ms_80_200828_105654_631.png",732.9,0.00234511937172775
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/738.0_leaf_2020_1000ms_80_200828_105657_039.png",738,0.00212255078534031
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/743.0_leaf_2020_1000ms_80_200828_105658_243.png",743,0.00190121465968586
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/748.1_leaf_2020_1000ms_80_200828_105700_650.png",748.1,0.00167499476439791
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/753.2_leaf_2020_1000ms_80_200828_105703_058.png",753.2,0.00151816858638743
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/758.2_leaf_2020_1000ms_80_200828_105705_466.png",758.2,0.00132536596858639
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/763.3_leaf_2020_1000ms_80_200828_105706_670.png",763.3,0.00122479162303665
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/768.4_leaf_2020_1000ms_80_200828_105709_077.png",768.4,0.00114696335078534
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/773.4_leaf_2020_1000ms_80_200828_105711_485.png",773.4,0.00105821989528796
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/778.5_leaf_2020_1000ms_80_200828_105713_688.png",778.5,0.000996505235602094
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/783.5_leaf_2020_1000ms_80_200828_105714_892.png",783.5,0.000976007853403141
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/788.6_leaf_2020_1000ms_80_200828_105718_098.png",788.6,0.000996112565445026
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/793.7_leaf_2020_1000ms_80_200828_105720_506.png",793.7,0.00100281413612565
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/798.7_leaf_2020_1000ms_80_200828_105721_709.png",798.7,0.00105603560209424
"G:/Shared drives/Leaf_cabinet_data/leaf_2020_cabinet_200828_105549_ID810/leaf_2020_1000ms_80/leaf_2020_1000ms_80_000000/803.8_leaf_2020_1000ms_80_200828_105722_913.png",803.8,0.00114691518324607
